GS001,34.993933,136.967872,,○,○
GS002,34.993315,136.967541,○,○,○
GS003,34.994744,136.971769,○,○,○
GS004,34.997634,136.967603,○,○,○
GS005,34.994912,136.967521,○,○,○
GS006,34.996271,136.964838,○,○,○
GS007,34.99771,136.963745,○,○,○
GS008,34.999019,136.962913,○,,
GS009,34.999251,136.960571,○,○,○
GS010,34.998173,136.962564,○,,
GS011,34.99798,136.961787,○,,
GS012,34.997177,136.961864,○,○,○
GS013,34.994942,136.966953,○,,
GS014,34.994315,136.96564,○,,
GS015,34.995409,136.964953,○,○,○
GS016,34.993643,136.963221,○,○,○
GS017,34.994778,136.962709,○,○,○
GS018,34.995968,136.963265,○,,
GS019,34.99566,136.961116,○,○,○
GS020,34.994433,136.961176,○,,
GS021,34.993194,136.965682,○,○,○
GS022,34.991676,136.967828,○,○,○
GS023,34.991231,136.966164,○,○,○
GS024,34.992996,136.966654,○,○,○
GS025,34.993319,136.970236,○,○,○
GS026,34.990529,136.968657,○,,
GS027,34.99566,136.966875,○,○,○
GS028,34.997258,136.968301,○,○,○
GS029,34.996701,136.962202,○,○,○
GS030,34.994541,136.96422,○,○,○
GS031,34.995117,136.953617,○,○,○
GS032,34.997042,136.957431,○,○,○
GS033,34.995457,136.957505,○,○,○
GS034,34.993991,136.955739,○,○,○
GS035,34.994806,136.958795,○,○,○
GS036,34.996904,136.959819,○,○,○
GS037,34.99713,136.958705,○,○,○
GS038,35.000153,136.959259,○,○,○
GS039,35.000026,136.957882,○,,
GS040,34.99775,136.95769,○,○,○
GS041,34.992021,136.951719,○,,
GS042,34.991585,136.951458,○,○,○
GS043,34.989806,136.953036,○,○,○
GS044,34.991322,136.955546,○,,
GS045,34.993051,136.95368,○,○,○
GS046,34.99939,136.949896,○,○,○
GS047,34.992705,136.956372,○,,
GS048,34.992482,136.955233,○,○,○
GS049,34.988527,136.967543,○,○,○
GS050,34.986929,136.969691,○,○,○
GS051,34.985847,136.969111,○,○,○
GS052,34.984148,136.972862,○,○,○
GS053,34.984055,136.975815,○,○,○
GS054,34.98133,136.977183,○,○,○
GS055,34.982518,136.975236,○,○,○
GS056,34.982506,136.972098,○,○,○
GS057,34.983478,136.970596,,○,○
GS058,34.985139,136.965675,○,○,○
GS059,34.982689,136.969364,○,○,○
GS060,34.983088,136.96449,,○,○
GS061,34.981501,136.968483,○,○,○
GS062,34.981483,136.969728,,○,○
GS063,34.981132,136.971641,○,○,○
GS064,34.98002,136.969636,○,○,○
GS065,34.976308,136.96874,○,○,○
GS066,34.978299,136.966242,○,○,○
GS067,34.979977,136.96407,○,○,○
GS068,34.975929,136.958897,○,○,○
GS069,34.978271,136.94772,○,○,○
GS070,34.973918,136.936099,○,○,○
GS071,34.982018,136.951847,○,○,○
GS072,34.979762,136.972686,○,○,○
GS073,34.976491,136.936622,○,○,○
GS074,34.978418,136.936566,○,○,○
GS075,34.980845,136.961543,○,○,○
GS076,34.980441,136.963029,○,○,○
GS077,34.977371,136.965414,○,○,○
GS078,34.975994,136.966644,○,,
GS079,34.977371,136.965414,○,○,○
GS080,34.977371,136.965414,○,○,○
GS081,34.977942,136.972789,○,○,○
GS082,34.975169,136.967691,○,○,○
GS083,34.98759,136.966816,○,,
GS084,34.977371,136.965414,○,,
GS085,34.964126,136.917705,○,○,○
GS086,34.964577,136.917196,○,○,○
GS087,34.964558,136.918676,○,○,○
GS088,34.965914,136.9192,○,,
GS089,34.966042,136.921176,○,,
GS090,34.966944,136.917457,○,,
GS091,34.967381,136.916953,○,,
GS092,34.967809,136.917324,○,,
GS093,34.968233,136.916743,○,○,○
GS094,34.968789,136.915881,○,,
GS095,34.969126,136.917127,○,○,○
GS096,34.968318,136.919053,○,○,○
GS097,34.96719,136.921466,○,○,○
GS098,34.969019,136.922476,○,○,○
GS099,34.970758,136.922984,○,,
GS100,34.966375,136.916783,○,○,○
GS101,34.970913,136.919653,○,,
GS102,34.970039,136.915452,○,○,○
GS103,34.971289,136.914671,○,,
GS104,34.971722,136.915085,○,○,○
GS105,34.972264,136.915701,○,○,○
GS106,34.971946,136.917701,○,,
GS107,34.972742,136.916725,○,○,○
GS108,34.973769,136.917017,○,○,○
GS109,34.972714,136.923038,○,○,○
GS110,34.967046,136.922914,○,,
GS111,34.962337,136.938069,○,○,○
GS112,34.963281,136.92014,○,,
GS113,34.975055,136.921059,○,,
GS114,34.976156,136.932022,○,○,○
GS115,34.976546,136.93344,○,○,○
GS116,34.978063,136.934449,○,,
GS117,34.9776,136.933065,○,,
GS118,34.976661,136.931836,○,,
GS119,34.97501,136.931881,○,,
GS120,34.958665,136.927943,○,○,○
GS121,34.957715,136.928635,○,,
GS122,34.956865,136.929428,○,○,○
GS123,34.956424,136.930666,○,,
GS124,34.955304,136.930947,○,○,○
GS125,34.95433,136.930206,○,○,○
GS126,34.954497,136.928987,○,,
GS127,34.954515,136.927464,○,○,○
GS128,34.95555,136.927658,○,○,○
GS129,34.95586,136.928857,○,○,○
GS130,34.956674,136.928557,○,,
GS131,34.956074,136.927136,○,,
GS132,34.956499,136.927163,○,○,○
GS133,34.95735,136.92651,○,○,○
GS134,34.958305,136.926768,○,,
GS135,34.959616,136.927174,○,,
GS136,34.960854,136.926047,○,○,○
GS137,34.961797,136.924762,○,,
GS138,34.962475,136.923919,○,○,○
GS139,34.961695,136.922155,○,○,○
GS140,34.961493,136.923516,○,,
GS141,34.960709,136.922578,○,,
GS142,34.959785,136.923345,○,○,○
GS143,34.958768,136.924655,○,,
GS144,34.959359,136.925293,○,○,○
GS145,34.960197,136.924025,○,,
GS146,34.961033,136.924401,○,○,○
GS147,34.960395,136.92503,○,○,○
GS148,34.960189,136.926043,○,,
GS149,34.959839,136.928716,○,○,○
GS150,34.95923,136.929064,○,,
GS151,34.958615,136.92916,○,○,○
GS152,34.958492,136.930511,○,,
GS153,34.959102,136.929797,○,,
GS154,34.959764,136.930562,○,○,○
GS155,34.960062,136.929848,○,,
GS156,34.960833,136.931659,○,○,○
GS157,34.960233,136.932318,○,,
GS158,34.961625,136.932443,○,,
GS159,34.960886,136.933258,○,,
GS160,34.96028,136.933457,○,○,○
GS161,34.960881,136.934031,○,,
GS162,34.9613,136.933351,○,,
GS163,34.961862,136.933505,○,○,○
GS164,34.961374,136.93423,○,,
GS165,34.962266,136.935121,○,○,○
GS166,34.96163,136.935697,○,○,○
GS167,34.961109,136.935382,○,,
GS168,34.95809,136.925923,○,,
GS169,34.965496,136.961662,○,○,○
GS170,34.965314,136.964187,○,○,○
GS171,34.965674,136.964323,○,○,○
GS172,34.966132,136.961478,○,○,○
GS173,34.96693,136.961146,○,○,○
GS174,34.966606,136.964084,○,○,○
GS175,34.96741,136.963459,○,○,○
GS176,34.967938,136.96223,○,○,○
GS177,34.967415,136.96084,○,○,○
GS178,34.968611,136.960859,○,○,○
GS179,34.968868,136.961687,○,○,○
GS180,34.969684,136.962164,○,○,○
GS181,34.970527,136.962031,○,○,○
GS182,34.971217,136.961499,○,○,○
GS183,34.969792,136.959889,○,○,○
GS184,34.96953,136.959499,○,○,○
GS185,34.969016,136.95982,○,○,○
GS186,34.969685,136.967282,○,○,○
GS187,34.966408,136.965507,○,○,○
GS188,34.969285,136.969088,○,○,○
GS189,34.9724,136.967564,○,○,○
GS190,34.969047,136.96294,○,○,○
GS191,34.968686,136.96587,○,○,○
GS192,34.949888,136.945559,○,,
GS193,34.967882,136.967402,○,○,○
GS194,34.967735,136.970167,○,○,○
GS195,34.965523,136.968389,○,○,○
GS196,34.964474,136.967832,○,○,○
GS197,34.963005,136.967602,○,○,○
GS198,34.962245,136.970104,○,○,○
GS199,34.961958,136.972395,○,○,○
GS200,34.971596,136.968782,○,○,○
GS201,34.970297,136.966237,○,○,○
GS202,34.96927,136.965856,○,○,○
GS203,34.969809,136.968367,○,○,○
GS204,34.969005,136.96994,○,○,○
GS205,34.968001,136.968377,○,,
GS206,34.966822,136.968678,○,○,○
GS207,34.967337,136.970088,○,○,○
GS208,34.961923,136.967763,○,○,○
GS209,34.963435,136.971656,○,○,○
GS210,34.971031,136.968583,○,○,○
GS211,34.96981,136.964611,○,,
GS212,34.9693,136.966995,○,,
GS213,34.962289,136.966107,○,○,○
GS214,34.967369,136.966579,○,,
GS215,34.972609,136.961681,○,,
GS216,34.962857,136.970777,○,,
GS217,34.961541,136.97037,○,,
GS218,34.965374,136.967121,○,,
GS219,34.966116,136.967197,○,○,○
GS220,34.9655,136.957557,○,○,○
GS221,34.950392,136.942734,○,○,○
GS222,34.948217,136.944461,○,○,○
GS223,34.947219,136.943384,○,,
GS224,34.947916,136.942985,○,,
GS225,34.949002,136.943264,○,,
GS226,34.949089,136.944496,○,,
GS227,34.95022,136.944248,○,○,○
GS228,34.971515,136.96187,○,○,○
GS229,34.970505,136.96335,○,○,○
GS230,34.972379,136.96256,○,,
GS231,34.9722,136.96418,○,○,○
GS232,34.972905,136.965144,○,,
GS233,34.972195,136.965715,○,○,○
GS234,34.971221,136.965895,○,,
GS235,34.970965,136.964814,○,○,○
GS236,34.974133,136.970403,○,,
GS237,34.973563,136.969973,○,,
GS238,34.972651,136.971206,○,,
GS239,34.971904,136.970181,○,○,○
GS240,34.972609,136.961681,○,○,○
GS241,34.970648,136.970395,○,○,○
GS242,34.971135,136.97218,○,○,○
GS243,34.974382,136.972264,○,○,○
GS244,34.973192,136.972377,○,○,○
GS245,34.969172,136.9703,○,○,○
GS246,34.96863,136.971448,○,○,○
GS247,34.966912,136.972105,○,○,○
GS248,34.963685,136.964969,○,○,○
GS249,34.963025,136.964324,○,○,○
GS250,34.962247,136.965101,○,○,○
GS251,34.968916,136.972434,○,○,○
GS252,34.96981,136.958163,○,○,○
GS253,34.964038,136.964297,○,,
GS254,34.963352,136.965993,○,,
GS255,34.964733,136.970142,○,○,○
GS256,34.969296,136.957251,○,,
GS257,34.965896,136.959857,○,○,○
GS258,34.965785,136.959753,○,○,○
GS259,34.965953,136.961046,○,○,○
GS260,34.965864,136.960025,○,○,○
GS261,34.965771,136.959706,○,○,○
GS262,34.966032,136.960977,○,○,○
GS263,34.965842,136.959614,○,○,○
GS264,34.966531,136.960432,○,○,○
GS265,34.966345,136.959533,○,○,○
GS266,34.967786,136.960382,○,○,○
GS267,34.96772,136.960396,○,○,○
GS268,34.968816,136.957062,○,○,○
GS269,34.967786,136.960382,○,○,○
GS270,34.967786,136.960382,○,○,○
GS271,34.967786,136.960382,○,○,○
GS272,34.968757,136.957059,○,○,○
GS273,34.96879,136.957127,○,○,○
GS274,34.966296,136.959353,○,○,○
GS275,34.967943,136.958239,○,○,○
GS276,34.967959,136.958305,○,○,○
GS277,34.967786,136.960382,○,○,○
GS278,34.967022,136.958117,○,○,○
GS279,34.967061,136.958141,○,○,○
GS280,34.964496,136.960639,○,○,○
GS281,34.96297,136.962505,○,○,○
GS282,34.960167,136.963291,○,○,○
GS283,34.963622,136.961441,○,○,○
GS284,34.961899,136.961722,○,○,○
GS285,34.961236,136.964443,○,○,○
GS286,34.963915,136.962146,○,○,○
GS287,34.961853,136.964179,○,○,○
GS288,34.960414,136.963051,○,○,○
GS289,34.961191,136.961722,○,○,○
GS290,34.961541,136.961724,○,○,○
GS291,34.962441,136.962643,○,○,○
GS292,34.967073,136.960863,○,○,○
GS293,34.960398,136.968943,○,○,○
GS294,34.960917,136.970341,○,○,○
GS295,34.96117,136.97301,○,○,○
GS296,34.958873,136.972739,○,○,○
GS297,34.959861,136.975841,○,○,○
GS298,34.958406,136.976003,○,,
GS299,34.957713,136.974963,○,○,○
GS300,34.957919,136.972954,○,,
GS301,34.957725,136.972499,○,○,○
GS302,34.95728,136.971898,○,,
GS303,34.957516,136.971102,○,○,○
GS304,34.957339,136.96851,○,○,○
GS305,34.95567,136.970384,○,○,○
GS306,34.955288,136.972962,○,,
GS307,34.955622,136.973537,○,○,○
GS308,34.955213,136.975014,○,○,○
GS309,34.952997,136.975025,○,,
GS310,34.951321,136.974667,○,○,○
GS311,34.949856,136.973519,○,,
GS312,34.951893,136.9717,○,,
GS313,34.953324,136.972378,○,○,○
GS314,34.952551,136.969834,○,,
GS315,34.951983,136.969223,○,○,○
GS316,34.952936,136.966721,○,,
GS317,34.953312,136.96645,○,○,○
GS318,34.955491,136.965082,○,○,○
GS319,34.953279,136.96477,○,,
GS320,34.954074,136.974676,○,○,○
GS321,34.952905,136.970148,○,○,○
GS322,34.954797,136.97322,○,○,○
GS323,34.952821,136.974562,○,,
GS324,34.95132,136.972424,○,○,○
GS325,34.951535,136.973395,○,○,○
GS326,34.955158,136.971478,○,○,○
GS327,34.951738,136.968851,○,○,○
GS328,34.950779,136.968927,○,,
GS329,34.949524,136.967259,○,,
GS330,34.948753,136.966482,○,○,○
GS331,34.948696,136.964773,○,○,○
GS332,34.949653,136.965074,○,,
GS333,34.950613,136.964272,○,○,○
GS334,34.981483,136.969728,○,,
GS335,34.951864,136.964438,○,○,○
GS336,34.947827,136.965538,○,○,○
GS337,34.949459,136.963384,○,,
GS338,34.95044,136.961908,○,,
GS339,34.951191,136.962357,○,○,○
GS340,34.951564,136.962358,○,,
GS341,34.951924,136.962444,○,○,○
GS342,34.952302,136.962355,○,,
GS343,34.952673,136.962443,○,○,○
GS344,34.949558,136.969681,○,,
GS345,34.948727,136.969761,○,,
GS346,34.947754,136.969295,○,○,○
GS347,34.94687,136.969193,○,,
GS348,34.948976,136.967766,○,,
GS349,34.948097,136.96774,○,○,○
GS350,34.945984,136.967308,○,○,○
GS351,34.944951,136.968155,○,,
GS352,34.944252,136.967507,○,,
GS353,34.943798,136.967063,○,○,○
GS354,34.943299,136.966562,○,○,○
GS355,34.944973,136.964155,○,,
GS356,34.939078,136.972014,○,○,○
GS357,34.948453,136.963335,○,○,○
GS358,34.948206,136.962878,○,○,○
GS359,34.948448,136.961524,○,○,○
GS360,34.947827,136.961868,○,,
GS361,34.946742,136.9626,○,,
GS362,34.946443,136.962773,○,○,○
GS363,34.94753,136.963205,○,,
GS364,34.946523,136.964407,○,,
GS365,34.945284,136.963908,○,,
GS366,34.944948,136.962643,○,,
GS367,34.945194,136.961493,○,○,○
GS368,34.943829,136.959415,○,○,○
GS369,34.943141,136.952864,○,○,○
GS370,34.940947,136.958765,○,,
GS371,34.941112,136.960611,○,○,○
GS372,34.9403,136.960173,○,,
GS373,34.9405,136.961482,○,○,○
GS374,34.940082,136.961768,○,,
GS375,34.941157,136.961761,○,,
GS376,34.940336,136.962351,○,○,○
GS377,34.940918,136.963178,○,○,○
GS378,34.942432,136.962988,○,,
GS379,34.942467,136.962276,○,,
GS380,34.943958,136.963645,○,,
GS381,34.947488,136.969355,○,,
